NontasinCHANPENG,Lap-1-Place-21,Lap-2-Place-21,Lap-3-Place-21,Lap-4-Place-21,Lap-5-Place-21,Lap-6-Place-21,Lap-7-Place-21,Lap-8-Place-21,Lap-9-Place-21,Lap-10-Place-21,Lap-11-Place-21,Lap-12-Place-21
ChanpengNONTASIN,Lap-1-Place-9,Lap-2-Place-6,Lap-3-Place-7,Lap-4-Place-7,Lap-5-Place-6,Lap-6-Place-5,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-5
VilijaSEREIKAITE,Lap-1-Place-6,Lap-2-Place-3,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
EllenVAN DIJK,Lap-1-Place-3,Lap-2-Place-2,Lap-3-Place-3,Lap-4-Place-3,Lap-5-Place-3,Lap-6-Place-3,Lap-7-Place-2,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-2,Lap-12-Place-2
LidiaMALAKHOVA,Lap-1-Place-17,Lap-2-Place-13,Lap-3-Place-11,Lap-4-Place-11,Lap-5-Place-13,Lap-6-Place-14,Lap-7-Place-18,Lap-8-Place-18,Lap-9-Place-21,Lap-10-Place-21,Lap-11-Place-21,Lap-12-Place-21
EugeniaBUJAK,Lap-1-Place-10,Lap-2-Place-6,Lap-3-Place-5,Lap-4-Place-3,Lap-5-Place-2,Lap-6-Place-3,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-5,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-6
KalitovskaLESYA,Lap-1-Place-11,Lap-2-Place-9,Lap-3-Place-9,Lap-4-Place-9,Lap-5-Place-8,Lap-6-Place-8,Lap-7-Place-8,Lap-8-Place-7,Lap-9-Place-7,Lap-10-Place-7,Lap-11-Place-5,Lap-12-Place-3
FernandaPAZ,Lap-1-Place-9,Lap-2-Place-14,Lap-3-Place-20,Lap-4-Place-23,Lap-5-Place-23,Lap-6-Place-23,Lap-7-Place-23,Lap-8-Place-23,Lap-9-Place-23,Lap-10-Place-23,Lap-11-Place-23,Lap-12-Place-23
AmyPIETERS,Lap-1-Place-13,Lap-2-Place-10,Lap-3-Place-12,Lap-4-Place-13,Lap-5-Place-12,Lap-6-Place-12,Lap-7-Place-12,Lap-8-Place-11,Lap-9-Place-13,Lap-10-Place-13,Lap-11-Place-14,Lap-12-Place-14
JessieDAAMS,Lap-1-Place-18,Lap-2-Place-20,Lap-3-Place-19,Lap-4-Place-20,Lap-5-Place-21,Lap-6-Place-21,Lap-7-Place-20,Lap-8-Place-20,Lap-9-Place-18,Lap-10-Place-18,Lap-11-Place-18,Lap-12-Place-17
VaidaPIKAUSKAITE,Lap-1-Place-1,Lap-2-Place-2,Lap-3-Place-3,Lap-4-Place-4,Lap-5-Place-6,Lap-6-Place-7,Lap-7-Place-7,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-5
JennieREED,Lap-1-Place-15,Lap-2-Place-11,Lap-3-Place-10,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-10,Lap-9-Place-10,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-12
MeiWU,Lap-1-Place-12,Lap-2-Place-19,Lap-3-Place-18,Lap-4-Place-19,Lap-5-Place-17,Lap-6-Place-16,Lap-7-Place-16,Lap-8-Place-17,Lap-9-Place-17,Lap-10-Place-17,Lap-11-Place-17,Lap-12-Place-18
KanakoKASE,Lap-1-Place-7,Lap-2-Place-18,Lap-3-Place-17,Lap-4-Place-16,Lap-5-Place-14,Lap-6-Place-13,Lap-7-Place-14,Lap-8-Place-15,Lap-9-Place-14,Lap-10-Place-15,Lap-11-Place-15,Lap-12-Place-15
JasminGLAESSER,Lap-1-Place-21,Lap-2-Place-17,Lap-3-Place-16,Lap-4-Place-17,Lap-5-Place-18,Lap-6-Place-19,Lap-7-Place-17,Lap-8-Place-16,Lap-9-Place-15,Lap-10-Place-14,Lap-11-Place-13,Lap-12-Place-13
SarahKENT,Lap-1-Place-3,Lap-2-Place-5,Lap-3-Place-6,Lap-4-Place-5,Lap-5-Place-4,Lap-6-Place-4,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-3,Lap-11-Place-3,Lap-12-Place-4
AhreumNA,Lap-1-Place-19,Lap-2-Place-21,Lap-3-Place-21,Lap-4-Place-18,Lap-5-Place-16,Lap-6-Place-15,Lap-7-Place-13,Lap-8-Place-12,Lap-9-Place-12,Lap-10-Place-12,Lap-11-Place-12,Lap-12-Place-10
PascaleSCHNIDER,Lap-1-Place-22,Lap-2-Place-22,Lap-3-Place-22,Lap-4-Place-21,Lap-5-Place-20,Lap-6-Place-17,Lap-7-Place-15,Lap-8-Place-13,Lap-9-Place-11,Lap-10-Place-10,Lap-11-Place-9,Lap-12-Place-8
SOUZAFERNANDES,Lap-1-Place-16,Lap-2-Place-12,Lap-3-Place-14,Lap-4-Place-15,Lap-5-Place-19,Lap-6-Place-20,Lap-7-Place-21,Lap-8-Place-21,Lap-9-Place-19,Lap-10-Place-19,Lap-11-Place-19,Lap-12-Place-19
CarolineRYAN,Lap-1-Place-14,Lap-2-Place-8,Lap-3-Place-8,Lap-4-Place-7,Lap-5-Place-7,Lap-6-Place-6,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-4,Lap-10-Place-5,Lap-11-Place-7,Lap-12-Place-7
MadeleineSANDIG,Lap-1-Place-4,Lap-2-Place-3,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-3,Lap-6-Place-5,Lap-7-Place-6,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-8,Lap-11-Place-8,Lap-12-Place-9
LucieZALESKA,Lap-1-Place-8,Lap-2-Place-15,Lap-3-Place-15,Lap-4-Place-14,Lap-5-Place-15,Lap-6-Place-18,Lap-7-Place-19,Lap-8-Place-19,Lap-9-Place-20,Lap-10-Place-20,Lap-11-Place-20,Lap-12-Place-20
CiaraHORNE,Lap-1-Place-20,Lap-2-Place-16,Lap-3-Place-13,Lap-4-Place-12,Lap-5-Place-11,Lap-6-Place-11,Lap-7-Place-9,Lap-8-Place-9,Lap-9-Place-9,Lap-10-Place-9,Lap-11-Place-10,Lap-12-Place-11
AlisonSHANKS,Lap-1-Place-6,Lap-2-Place-7,Lap-3-Place-7,Lap-4-Place-6,Lap-5-Place-5,Lap-6-Place-2,Lap-7-Place-2,Lap-8-Place-2,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
YiuWONG,Lap-1-Place-23,Lap-2-Place-23,Lap-3-Place-23,Lap-4-Place-22,Lap-5-Place-22,Lap-6-Place-22,Lap-7-Place-22,Lap-8-Place-22,Lap-9-Place-22,Lap-10-Place-22,Lap-11-Place-22,Lap-12-Place-22
SvetlanaPAULIUKAITE,Lap-1-Place-8,Lap-2-Place-10,Lap-3-Place-11,Lap-4-Place-15,Lap-5-Place-17,Lap-6-Place-18,Lap-7-Place-19,Lap-8-Place-19,Lap-9-Place-19,Lap-10-Place-20,Lap-11-Place-19,Lap-12-Place-21
TaraWHITTEN,Lap-1-Place-12,Lap-2-Place-11,Lap-3-Place-10,Lap-4-Place-9,Lap-5-Place-8,Lap-6-Place-8,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-5
AshleeANKUDINOFF,Lap-1-Place-5,Lap-2-Place-2,Lap-3-Place-2,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-3,Lap-12-Place-4
VeraKOEDOODER,Lap-1-Place-18,Lap-2-Place-18,Lap-3-Place-18,Lap-4-Place-19,Lap-5-Place-19,Lap-6-Place-19,Lap-7-Place-18,Lap-8-Place-18,Lap-9-Place-17,Lap-10-Place-16,Lap-11-Place-13,Lap-12-Place-13
MinamiUWANO,Lap-1-Place-19,Lap-2-Place-20,Lap-3-Place-21,Lap-4-Place-21,Lap-5-Place-21,Lap-6-Place-21,Lap-7-Place-21,Lap-8-Place-21,Lap-9-Place-21,Lap-10-Place-21,Lap-11-Place-21,Lap-12-Place-20
JennieREED,Lap-1-Place-13,Lap-2-Place-14,Lap-3-Place-12,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-10,Lap-9-Place-10,Lap-10-Place-10,Lap-11-Place-10,Lap-12-Place-11
VeneraABSALYAMOVA,Lap-1-Place-16,Lap-2-Place-15,Lap-3-Place-13,Lap-4-Place-12,Lap-5-Place-13,Lap-6-Place-12,Lap-7-Place-14,Lap-8-Place-16,Lap-9-Place-16,Lap-10-Place-17,Lap-11-Place-16,Lap-12-Place-14
ElizavetaBOCHKAREVA,Lap-1-Place-6,Lap-2-Place-6,Lap-3-Place-4,Lap-4-Place-2,Lap-5-Place-3,Lap-6-Place-5,Lap-7-Place-7,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-8,Lap-11-Place-8,Lap-12-Place-8
MadeleineSANDIG,Lap-1-Place-14,Lap-2-Place-13,Lap-3-Place-14,Lap-4-Place-16,Lap-5-Place-15,Lap-6-Place-15,Lap-7-Place-16,Lap-8-Place-15,Lap-9-Place-15,Lap-10-Place-15,Lap-11-Place-17,Lap-12-Place-17
KatarzynaPAWLOWSKA,Lap-1-Place-11,Lap-2-Place-12,Lap-3-Place-15,Lap-4-Place-14,Lap-5-Place-14,Lap-6-Place-13,Lap-7-Place-12,Lap-8-Place-14,Lap-9-Place-14,Lap-10-Place-14,Lap-11-Place-15,Lap-12-Place-15
CarolineRYAN,Lap-1-Place-17,Lap-2-Place-16,Lap-3-Place-16,Lap-4-Place-13,Lap-5-Place-11,Lap-6-Place-11,Lap-7-Place-11,Lap-8-Place-9,Lap-9-Place-9,Lap-10-Place-9,Lap-11-Place-9,Lap-12-Place-9
MakiTABATA,Lap-1-Place-21,Lap-2-Place-21,Lap-3-Place-20,Lap-4-Place-20,Lap-5-Place-20,Lap-6-Place-20,Lap-7-Place-20,Lap-8-Place-20,Lap-9-Place-20,Lap-10-Place-19,Lap-11-Place-20,Lap-12-Place-19
EugeniaBUJAK,Lap-1-Place-4,Lap-2-Place-8,Lap-3-Place-8,Lap-4-Place-8,Lap-5-Place-9,Lap-6-Place-9,Lap-7-Place-9,Lap-8-Place-11,Lap-9-Place-12,Lap-10-Place-13,Lap-11-Place-14,Lap-12-Place-16
AmyCURE,Lap-1-Place-7,Lap-2-Place-4,Lap-3-Place-3,Lap-4-Place-3,Lap-5-Place-2,Lap-6-Place-2,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-3
YiuWONG,Lap-1-Place-22,Lap-2-Place-22,Lap-3-Place-22,Lap-4-Place-22,Lap-5-Place-22,Lap-6-Place-22,Lap-7-Place-22,Lap-8-Place-22,Lap-9-Place-22,Lap-10-Place-22,Lap-11-Place-22,Lap-12-Place-22
WendyHOUVENAGHEL,Lap-1-Place-10,Lap-2-Place-9,Lap-3-Place-5,Lap-4-Place-5,Lap-5-Place-4,Lap-6-Place-3,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-3,Lap-11-Place-2,Lap-12-Place-2
LaurenELLIS,Lap-1-Place-15,Lap-2-Place-17,Lap-3-Place-17,Lap-4-Place-17,Lap-5-Place-16,Lap-6-Place-16,Lap-7-Place-15,Lap-8-Place-13,Lap-9-Place-13,Lap-10-Place-12,Lap-11-Place-12,Lap-12-Place-12
JoannaROWSELL,Lap-1-Place-2,Lap-2-Place-3,Lap-3-Place-6,Lap-4-Place-7,Lap-5-Place-7,Lap-6-Place-7,Lap-7-Place-6,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-6
JaimeNIELSEN,Lap-1-Place-20,Lap-2-Place-19,Lap-3-Place-19,Lap-4-Place-18,Lap-5-Place-18,Lap-6-Place-17,Lap-7-Place-13,Lap-8-Place-12,Lap-9-Place-11,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-10
MarliesMEJIAS,Lap-1-Place-3,Lap-2-Place-5,Lap-3-Place-9,Lap-4-Place-11,Lap-5-Place-12,Lap-6-Place-14,Lap-7-Place-17,Lap-8-Place-17,Lap-9-Place-18,Lap-10-Place-18,Lap-11-Place-18,Lap-12-Place-18
AlisonSHANKS,Lap-1-Place-9,Lap-2-Place-7,Lap-3-Place-7,Lap-4-Place-6,Lap-5-Place-6,Lap-6-Place-4,Lap-7-Place-2,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
VilijaSEREIKAITE,Lap-1-Place-1,Lap-2-Place-1,Lap-3-Place-1,Lap-4-Place-4,Lap-5-Place-5,Lap-6-Place-6,Lap-7-Place-8,Lap-8-Place-7,Lap-9-Place-7,Lap-10-Place-7,Lap-11-Place-7,Lap-12-Place-7
JasminGLAESSER,Lap-1-Place-18,Lap-2-Place-12,Lap-3-Place-10,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-8,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-5
PiaPENSAARI,Lap-1-Place-21,Lap-2-Place-21,Lap-3-Place-20,Lap-4-Place-20,Lap-5-Place-19,Lap-6-Place-19,Lap-7-Place-19,Lap-8-Place-19,Lap-9-Place-19,Lap-10-Place-19,Lap-11-Place-19,Lap-12-Place-19
ElsBELMANS,Lap-1-Place-11,Lap-2-Place-14,Lap-3-Place-14,Lap-4-Place-13,Lap-5-Place-13,Lap-6-Place-13,Lap-7-Place-13,Lap-8-Place-14,Lap-9-Place-15,Lap-10-Place-14,Lap-11-Place-14,Lap-12-Place-14
AnastasiaCHULKOVA,Lap-1-Place-20,Lap-2-Place-19,Lap-3-Place-17,Lap-4-Place-17,Lap-5-Place-18,Lap-6-Place-17,Lap-7-Place-17,Lap-8-Place-15,Lap-9-Place-17,Lap-10-Place-16,Lap-11-Place-16,Lap-12-Place-15
AmyCURE,Lap-1-Place-3,Lap-2-Place-2,Lap-3-Place-1,Lap-4-Place-1,Lap-5-Place-2,Lap-6-Place-2,Lap-7-Place-3,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-4,Lap-11-Place-4,Lap-12-Place-4
VilijaSEREIKAITE,Lap-1-Place-1,Lap-2-Place-1,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-3,Lap-11-Place-3,Lap-12-Place-3
JennieREED,Lap-1-Place-7,Lap-2-Place-7,Lap-3-Place-8,Lap-4-Place-8,Lap-5-Place-8,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-11,Lap-9-Place-10,Lap-10-Place-12,Lap-11-Place-12,Lap-12-Place-12
GloriaRODRIGUEZ,Lap-1-Place-14,Lap-2-Place-17,Lap-3-Place-18,Lap-4-Place-18,Lap-5-Place-17,Lap-6-Place-16,Lap-7-Place-16,Lap-8-Place-17,Lap-9-Place-16,Lap-10-Place-17,Lap-11-Place-17,Lap-12-Place-17
EllenVAN,Lap-1-Place-15,Lap-2-Place-13,Lap-3-Place-11,Lap-4-Place-11,Lap-5-Place-11,Lap-6-Place-11,Lap-7-Place-6,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-6
LauraBASSO,Lap-1-Place-12,Lap-2-Place-20,Lap-3-Place-21,Lap-4-Place-21,Lap-5-Place-21,Lap-6-Place-21,Lap-7-Place-21,Lap-8-Place-21,Lap-9-Place-21,Lap-10-Place-21,Lap-11-Place-21,Lap-12-Place-21
JuI,Lap-1-Place--1,Lap-2-Place--1,Lap-3-Place--1,Lap-4-Place--1,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place--1,Lap-9-Place--1,Lap-10-Place--1,Lap-11-Place--1,Lap-12-Place--1
AlenaDYLKO,Lap-1-Place-4,Lap-2-Place-3,Lap-3-Place-3,Lap-4-Place-4,Lap-5-Place-5,Lap-6-Place-5,Lap-7-Place-7,Lap-8-Place-10,Lap-9-Place-13,Lap-10-Place-15,Lap-11-Place-15,Lap-12-Place-16
PascaleSCHNIDER,Lap-1-Place-17,Lap-2-Place-15,Lap-3-Place-16,Lap-4-Place-16,Lap-5-Place-15,Lap-6-Place-15,Lap-7-Place-15,Lap-8-Place-16,Lap-9-Place-14,Lap-10-Place-10,Lap-11-Place-8,Lap-12-Place-8
JoannaROWSELL,Lap-1-Place-5,Lap-2-Place-4,Lap-3-Place-4,Lap-4-Place-3,Lap-5-Place-3,Lap-6-Place-4,Lap-7-Place-4,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-2,Lap-11-Place-2,Lap-12-Place-1
CarolineRYAN,Lap-1-Place-16,Lap-2-Place-16,Lap-3-Place-15,Lap-4-Place-15,Lap-5-Place-14,Lap-6-Place-14,Lap-7-Place-14,Lap-8-Place-13,Lap-9-Place-11,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-10
MadeleineSANDIG,Lap-1-Place-13,Lap-2-Place-9,Lap-3-Place-9,Lap-4-Place-9,Lap-5-Place-9,Lap-6-Place-7,Lap-7-Place-8,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-9,Lap-11-Place-10,Lap-12-Place-11
AlisonSHANKS,Lap-1-Place-8,Lap-2-Place-6,Lap-3-Place-5,Lap-4-Place-5,Lap-5-Place-4,Lap-6-Place-3,Lap-7-Place-2,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-2
EugeniaBUJAK,Lap-1-Place-2,Lap-2-Place-5,Lap-3-Place-6,Lap-4-Place-7,Lap-5-Place-6,Lap-6-Place-6,Lap-7-Place-9,Lap-8-Place-12,Lap-9-Place-12,Lap-10-Place-13,Lap-11-Place-13,Lap-12-Place-13
AnnetteEDMONDSON,Lap-1-Place-2,Lap-2-Place-2,Lap-3-Place-2,Lap-4-Place-3,Lap-5-Place-3,Lap-6-Place-3,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-3,Lap-12-Place-3
AnastasiyaCHULKOVA,Lap-1-Place-13,Lap-2-Place-10,Lap-3-Place-10,Lap-4-Place-11,Lap-5-Place-11,Lap-6-Place-11,Lap-7-Place-11,Lap-8-Place-11,Lap-9-Place-11,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-11
EugeniaBUJAK,Lap-1-Place-7,Lap-2-Place-9,Lap-3-Place-9,Lap-4-Place-9,Lap-5-Place-9,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-10,Lap-9-Place-10,Lap-10-Place-10,Lap-11-Place-9,Lap-12-Place-9
SarahHAMMER,Lap-1-Place-3,Lap-2-Place-3,Lap-3-Place-3,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
ElsBELMANS,Lap-1-Place-14,Lap-2-Place-12,Lap-3-Place-12,Lap-4-Place-13,Lap-5-Place-12,Lap-6-Place-12,Lap-7-Place-12,Lap-8-Place-12,Lap-9-Place-12,Lap-10-Place-12,Lap-11-Place-13,Lap-12-Place-13
AmyPIETERS,Lap-1-Place-12,Lap-2-Place-13,Lap-3-Place-13,Lap-4-Place-12,Lap-5-Place-13,Lap-6-Place-13,Lap-7-Place-14,Lap-8-Place-14,Lap-9-Place-14,Lap-10-Place-14,Lap-11-Place-14,Lap-12-Place-14
AnnaNAGIRNAYA,Lap-1-Place-4,Lap-2-Place-4,Lap-3-Place-4,Lap-4-Place-4,Lap-5-Place-4,Lap-6-Place-4,Lap-7-Place-4,Lap-8-Place-4,Lap-9-Place-4,Lap-10-Place-6,Lap-11-Place-7,Lap-12-Place-7
CarolineRYAN,Lap-1-Place-15,Lap-2-Place-14,Lap-3-Place-11,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-9,Lap-7-Place-7,Lap-8-Place-6,Lap-9-Place-5,Lap-10-Place-4,Lap-11-Place-5,Lap-12-Place-5
LucieZALESKA,Lap-1-Place-5,Lap-2-Place-8,Lap-3-Place-8,Lap-4-Place-7,Lap-5-Place-7,Lap-6-Place-7,Lap-7-Place-9,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-9,Lap-11-Place-10,Lap-12-Place-10
AmyCURE,Lap-1-Place-1,Lap-2-Place-1,Lap-3-Place-1,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-2,Lap-7-Place-2,Lap-8-Place-2,Lap-9-Place-3,Lap-10-Place-3,Lap-11-Place-2,Lap-12-Place-2
LauraBROWN,Lap-1-Place-8,Lap-2-Place-5,Lap-3-Place-6,Lap-4-Place-6,Lap-5-Place-6,Lap-6-Place-6,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-6,Lap-10-Place-5,Lap-11-Place-4,Lap-12-Place-4
DanielysGARCIA,Lap-1-Place-14,Lap-2-Place-15,Lap-3-Place-15,Lap-4-Place-15,Lap-5-Place-15,Lap-6-Place-15,Lap-7-Place-15,Lap-8-Place-15,Lap-9-Place-15,Lap-10-Place-14,Lap-11-Place-14,Lap-12-Place-14
MinhyeLEE,Lap-1-Place-10,Lap-2-Place-10,Lap-3-Place-10,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-10,Lap-9-Place-10,Lap-10-Place-10,Lap-11-Place-10,Lap-12-Place-9
KatarzynaPAWLOWSKA,Lap-1-Place-5,Lap-2-Place-9,Lap-3-Place-9,Lap-4-Place-9,Lap-5-Place-7,Lap-6-Place-7,Lap-7-Place-6,Lap-8-Place-5,Lap-9-Place-4,Lap-10-Place-4,Lap-11-Place-3,Lap-12-Place-1
BeatriceBARTELLONI,Lap-1-Place-1,Lap-2-Place-4,Lap-3-Place-7,Lap-4-Place-8,Lap-5-Place-9,Lap-6-Place-9,Lap-7-Place-9,Lap-8-Place-9,Lap-9-Place-9,Lap-10-Place-8,Lap-11-Place-8,Lap-12-Place-8
LauraBROWN,Lap-1-Place-7,Lap-2-Place-6,Lap-3-Place-5,Lap-4-Place-6,Lap-5-Place-5,Lap-6-Place-4,Lap-7-Place-3,Lap-8-Place-3,Lap-9-Place-3,Lap-10-Place-3,Lap-11-Place-4,Lap-12-Place-4
CarolineRYAN,Lap-1-Place-4,Lap-2-Place-5,Lap-3-Place-4,Lap-4-Place-5,Lap-5-Place-6,Lap-6-Place-5,Lap-7-Place-5,Lap-8-Place-4,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-5
AnnaNAGIRNAYA,Lap-1-Place-2,Lap-2-Place-1,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-3,Lap-7-Place-4,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-6
RebeccaWIASAK,Lap-1-Place-8,Lap-2-Place-2,Lap-3-Place-1,Lap-4-Place-1,Lap-5-Place-1,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-2,Lap-12-Place-3
CiaraHORNE,Lap-1-Place-3,Lap-2-Place-3,Lap-3-Place-3,Lap-4-Place-3,Lap-5-Place-4,Lap-6-Place-6,Lap-7-Place-7,Lap-8-Place-7,Lap-9-Place-7,Lap-10-Place-9,Lap-11-Place-9,Lap-12-Place-11
